,precision,recall,f1-score,support
Backdoor_Malware,0.5,0.012195121951219513,0.023809523809523808,82.0
BenignTraffic,0.8834958005869059,0.9871857686654355,0.9324670701317194,26533.0
BrowserHijacking,1.0,0.14184397163120568,0.24844720496894412,141.0
CommandInjection,0.9,0.27906976744186046,0.42603550295857995,129.0
DDoS-ACK_Fragmentation,0.9945126353790614,0.9929354094579008,0.9937233965803334,6936.0
DDoS-HTTP_Flood,0.9924698795180723,0.9606413994169096,0.9762962962962962,686.0
DDoS-ICMP_Flood,0.9996978731409222,0.9998004617884325,0.9997491648329095,175405.0
DDoS-ICMP_Fragmentation,0.9930611155591139,0.9974088634739099,0.995230241162573,11192.0
DDoS-PSHACK_Flood,0.9998692218701273,0.9995575043243896,0.9997133387983363,99436.0
DDoS-RSTFINFlood,0.9998777667994255,0.9994603620665078,0.9996690208618697,98214.0
DDoS-SYN_Flood,0.9995426178521334,0.9994613492692643,0.9995019819087305,98394.0
DDoS-SlowLoris,0.8896,0.9754385964912281,0.9305439330543932,570.0
DDoS-SynonymousIP_Flood,0.9996561643992619,0.9992209785883673,0.9994385241205455,87289.0
DDoS-TCP_Flood,0.9997988589818607,0.9995429783188915,0.9996709022762593,109404.0
DDoS-UDP_Flood,0.9993827395694418,0.9995198426913198,0.9994512864284842,131207.0
DDoS-UDP_Fragmentation,0.9954344624447717,0.991637323943662,0.9935322651771278,6816.0
DNS_Spoofing,0.8064184852374839,0.7148384160218479,0.757871878393051,4394.0
DictionaryBruteForce,0.9775280898876404,0.28618421052631576,0.44274809160305345,304.0
DoS-HTTP_Flood,0.9850230414746544,0.989010989010989,0.987012987012987,1729.0
DoS-SYN_Flood,0.9993105825577387,0.9992903199643133,0.999300451158311,49318.0
DoS-TCP_Flood,0.999737884885209,0.9997224706281415,0.9997301776972595,64858.0
DoS-UDP_Flood,0.9991794106676614,0.9993285085428636,0.9992539540435691,80418.0
MITM-ArpSpoofing,0.9080342873746913,0.8365680631776201,0.8708373972411871,7471.0
Mirai-greeth_flood,0.9989927816014773,0.9987412939498196,0.9988670219462045,23834.0
Mirai-greip_flood,0.997871643745907,0.9981984932852932,0.9980350417553627,18318.0
Mirai-udpplain,0.9988905325443787,0.9990290813259975,0.9989598021312498,21629.0
Recon-HostDiscovery,0.852752880921895,0.8435718809373021,0.8481375358166189,3158.0
Recon-OSScan,0.8293413173652695,0.5848817567567568,0.6859831599801883,2368.0
Recon-PingSweep,0.5,0.016129032258064516,0.03125,62.0
Recon-PortScan,0.8486238532110092,0.6527217741935484,0.7378917378917379,1984.0
SqlInjection,0.875,0.05185185185185185,0.0979020979020979,135.0
Uploading_Attack,0.0,0.0,0.0,23.0
VulnerabilityScan,0.9494736842105264,0.9730312837108953,0.9611081513052744,927.0
XSS,0.5,0.00980392156862745,0.019230769230769232,102.0
accuracy,0.9941930326979371,0.9941930326979371,0.9941930326979371,0.9941930326979371
macro avg,0.8874287532878423,0.7437595013891398,0.7632764678963396,1133466.0
weighted avg,0.9940636917760408,0.9941930326979371,0.9937694187073289,1133466.0
